batch_idx,mc_draw,accuracy,fault_layer,fault_location,fault_category,fault_type,fault_value
43,33,0.0,2,In4_Out0,Connection,stuck_on,stuck_on
43,34,0.0,1,In0_Out0,Connection,stuck_off,stuck_off
43,35,0.0,1,In0_Out0,Connection,stuck_off,stuck_off
43,36,0.0,1,In1_Out0,Connection,stuck_off,stuck_off
43,37,0.0,2,In4_Out1,Connection,stuck_off,stuck_off
43,38,0.0,2,In4_Out0,Connection,stuck_on,stuck_on
43,39,0.0,1,In2_Out1,Connection,stuck_off,stuck_off
43,40,0.0,1,In0_Out3,Connection,stuck_on,stuck_on
43,41,0.0,1,In1_Out0,Connection,stuck_off,stuck_off
43,42,1.0,2,In4_Out0,Connection,stuck_off,stuck_off
43,43,0.0,2,In3_Out1,Connection,stuck_on,stuck_on
43,44,0.0,1,In0_Out0,Connection,stuck_on,stuck_on
43,45,1.0,1,N0,Neuron,static,3.0
43,46,0.0,1,In1_Out3,Connection,stuck_on,stuck_on
43,47,0.0,1,In4_Out0,Connection,stuck_on,stuck_on
43,48,0.0,0,In0_Out1,Connection,stuck_on,stuck_on
43,49,0.0,1,N3,Neuron,dynamic,Idx_2
43,50,0.0,1,In0_Out4,Connection,stuck_on,stuck_on
43,51,0.0,1,In0_Out4,Connection,stuck_off,stuck_off
43,52,0.0,1,N0,Neuron,dynamic,Idx_1
43,53,0.0,2,In3_Out0,Connection,stuck_off,stuck_off
43,54,0.0,1,In2_Out1,Connection,stuck_on,stuck_on
43,55,0.5,0,N1,Neuron,static,2.0
43,56,0.0,2,In0_Out1,Connection,stuck_off,stuck_off
43,57,0.0,1,In1_Out0,Connection,stuck_on,stuck_on
43,58,0.0,2,In1_Out0,Connection,stuck_off,stuck_off
43,59,0.0,2,In4_Out1,Connection,stuck_off,stuck_off
43,60,0.0,2,In4_Out1,Connection,stuck_on,stuck_on
43,61,0.0,1,In1_Out1,Connection,stuck_off,stuck_off
43,62,0.0,1,In4_Out2,Connection,stuck_off,stuck_off
43,63,0.0,1,In3_Out4,Connection,stuck_on,stuck_on
43,64,1.0,1,N2,Neuron,static,0.0
43,65,0.0,1,N4,Neuron,static,0.0
43,66,0.0,1,In1_Out2,Connection,stuck_on,stuck_on
43,67,0.0,1,In0_Out1,Connection,stuck_on,stuck_on
43,68,0.0,0,In0_Out1,Connection,stuck_on,stuck_on
43,69,0.0,2,N1,Neuron,dynamic,Idx_2
43,70,1.0,2,N0,Neuron,dynamic,Idx_1
43,71,1.0,2,In0_Out2,Connection,stuck_on,stuck_on
43,72,0.0,0,In0_Out2,Connection,stuck_on,stuck_on
43,73,0.0,1,In0_Out0,Connection,stuck_on,stuck_on
