run,method,dataset,metric,value,roc_mode
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,val_loss,0.7262832522392273,
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,val_power,0.002531590638682246,
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_roc_micro_auc,1.0,generic
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,1.0,none
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,1.0,single
PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,val_loss,0.7281636595726013,
PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,val_power,0.0005378720816224813,
PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_roc_micro_auc,1.0,generic
PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,1.0,none
PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,1.0,single
PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_acc_mode_none,0.5899999737739563,
PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_acc_mode_single,0.5799999833106995,
PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,val_loss,1.0781121253967283,
PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,val_power,0.0030724238604307175,
PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_roc_micro_auc,0.7124500274658203,generic
PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_roc_micro_auc_mode_none,0.7124500274658203,none
PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_roc_micro_auc_mode_single,0.7133499979972839,single
PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_acc_mode_none,0.7799999713897705,
PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_acc_mode_single,0.4099999964237213,
