,run,method,dataset,metric,value,roc_mode
157,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,val_power,0.0018751625902950764,
158,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_roc_micro_auc,0.8771030306816101,generic
159,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_roc_micro_auc_mode_none,0.8771030306816101,none
160,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_roc_micro_auc_mode_single,0.8695721626281738,single
161,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_acc_mode_none,0.8101266026496887,
162,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_acc_mode_single,0.7848101258277893,
163,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,val_loss,0.833350419998169,
164,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,val_power,0.0037914987187832594,
165,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_roc_micro_auc,0.8740586638450623,generic
166,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_roc_micro_auc_mode_none,0.8740586638450623,none
167,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_roc_micro_auc_mode_single,0.872215986251831,single
168,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_acc_mode_none,0.6899999976158142,
169,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_acc_mode_single,0.4600000083446502,
170,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,val_loss,1.0674711465835571,
171,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,val_power,0.0035734432749450207,
172,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_roc_micro_auc,0.8220499753952026,generic
173,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_roc_micro_auc_mode_none,0.8220499753952026,none
174,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_roc_micro_auc_mode_single,0.6660000085830688,single
175,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_acc_mode_none,0.7599999904632568,
176,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_acc_mode_single,0.6100000143051147,
177,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,val_loss,1.0621254444122314,
178,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,val_power,0.004124445375055075,
179,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_roc_micro_auc,0.8420000076293945,generic
180,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_roc_micro_auc_mode_none,0.8420000076293945,none
181,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_roc_micro_auc_mode_single,0.7832000255584717,single
182,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
183,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
184,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,val_loss,1.5551323890686035,
185,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,val_power,0.006647759582847357,
186,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_roc_micro_auc,0.7113900184631348,generic
187,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7113900184631348,none
188,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.759660005569458,single
189,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
190,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
191,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,val_loss,1.55786395072937,
192,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,val_power,0.015040972270071508,
193,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_roc_micro_auc,0.7086799740791321,generic
194,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7086799740791321,none
195,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.7173900008201599,single
196,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_acc_mode_none,0.8481012582778931,
197,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_acc_mode_single,0.8227847814559937,
198,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,val_loss,0.7939287424087524,
199,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,val_power,0.003339619841426611,
200,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_roc_micro_auc,0.8980932831764221,generic
201,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_roc_micro_auc_mode_none,0.8980932831764221,none
202,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_roc_micro_auc_mode_single,0.8932062387466431,single
203,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_acc_mode_none,0.8607594966888428,
204,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_acc_mode_single,0.8607594966888428,
205,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,val_loss,0.7801225781440735,
206,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,val_power,0.0033237740863114595,
207,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_roc_micro_auc,0.9031405448913574,generic
208,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_roc_micro_auc_mode_none,0.9031405448913574,none
209,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_roc_micro_auc_mode_single,0.9031405448913574,single
210,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
211,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
212,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,val_loss,1.5466898679733276,
213,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,val_power,0.0016478479374200106,
214,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_roc_micro_auc,0.7327700257301331,generic
215,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7327700257301331,none
216,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.7386599779129028,single
217,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502,
218,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502,
219,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,val_loss,1.5641262531280518,
220,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,val_power,0.0017506101867184043,
221,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_roc_micro_auc,0.7613700032234192,generic
222,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_roc_micro_auc_mode_none,0.7613700032234192,none
223,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_roc_micro_auc_mode_single,0.7550399899482727,single
224,PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_acc_mode_none,0.7215189933776855,
225,PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_acc_mode_single,0.746835470199585,
226,PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,val_loss,0.853220522403717,
227,PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,val_power,0.0043797725811600685,
